
                                                  *****************************
                                                  *  TOTAL    RUN    SUMMARY  *
                                                  *****************************

     TIME STEP              PRODUCTION                   INJECTION     PV WT AQUIFER INFLUX      CUM PRODUCTION       CUM INJECTION
    ---------- ------------------------------------- ----------------   AVG  -------------- ------------------------ ---------------
                  OIL     GAS     WATER    GOR   WATER   GAS   WATER    RES   RATE    CUM     OIL     GAS    WATER    GAS    WATER
                                         SCF/  /OIL                    PRES
     NO.  DAYS   STB/D  MSCF/D   STB/D   STB   RATIO  MSCF/D   STB/D   PSIA  MSTB/D  MMSTB    MSTB   MMSCF   MSTB    MMSCF   MSTB
     50   176.    4833.   4083.     2.8   845.   0.0       0.      0.  5594.    0.0      0.   1020.    832.      1.      0.      0.
     51   180.    4815.   4066.     2.8   844.   0.0       0.      0.  5594.    0.0      0.   1042.    850.      1.      0.      0.
     52   187.    4767.   4026.     2.7   845.   0.0       0.      0.  5593.    0.0      0.   1074.    877.      1.      0.      0.
     53   197.    4698.   3969.     2.7   845.   0.0       0.      0.  5592.    0.0      0.   1121.    916.      1.      0.      0.
     54   212.    4597.   3887.     2.6   846.   0.0       0.      0.  5590.    0.0      0.   1190.    975.      1.      0.      0.
     55   227.    4503.   3811.     2.6   846.   0.0       0.      0.  5589.    0.0      0.   1257.   1032.      1.      0.      0.
     56   242.    4414.   3737.     2.5   847.   0.0       0.      0.  5588.    0.0      0.   1323.   1088.      1.      0.      0.
     57   257.    4327.   3665.     2.5   847.   0.0       0.      0.  5586.    0.0      0.   1388.   1143.      1.      0.      0.
     58   272.    4243.   3596.     2.4   847.   0.0       0.      0.  5585.    0.0      0.   1452.   1197.      1.      0.      0.
     59   287.    4160.   3528.     2.4   848.   0.0       0.      0.  5584.    0.0      0.   1514.   1250.      1.      0.      0.
     60   302.    4081.   3461.     2.4   848.   0.0       0.      0.  5583.    0.0      0.   1576.   1302.      1.      0.      0.
     61   317.    4004.   3397.     2.3   848.   0.0       0.      0.  5581.    0.0      0.   1636.   1353.      1.      0.      0.
     62   332.    3929.   3334.     2.3   848.   0.0       0.      0.  5580.    0.0      0.   1695.   1403.      1.      0.      0.
     63   347.    3857.   3272.     2.2   848.   0.0       0.      0.  5579.    0.0      0.   1752.   1452.      1.      0.      0.
     64   362.    3788.   3213.     2.2   848.   0.0       0.      0.  5578.    0.0      0.   1809.   1500.      1.      0.      0.
     65   365.    3780.   3203.     2.2   847.   0.0       0.      0.  5578.    0.0      0.   1822.   1511.      1.      0.      0.
     66   370.    3756.   3183.     2.2   847.   0.0       0.      0.  5577.    0.0      0.   1840.   1526.      1.      0.      0.
     67   377.    3721.   3154.     2.2   847.   0.0       0.      0.  5577.    0.0      0.   1868.   1550.      1.      0.      0.
     68   388.    3671.   3111.     2.1   847.   0.0       0.      0.  5576.    0.0      0.   1909.   1584.      1.      0.      0.
     69   403.    3605.   3055.     2.1   847.   0.0       0.      0.  5575.    0.0      0.   1963.   1630.      1.      0.      0.
     70   418.    3543.   3002.     2.1   847.   0.0       0.      0.  5574.    0.0      0.   2016.   1675.      1.      0.      0.
     71   433.    3484.   2950.     2.0   847.   0.0       0.      0.  5573.    0.0      0.   2068.   1719.      1.      0.      0.
     72   448.    3425.   2899.     2.0   846.   0.0       0.      0.  5572.    0.0      0.   2120.   1763.      1.      0.      0.
     73   463.    3369.   2850.     2.0   846.   0.0       0.      0.  5571.    0.0      0.   2170.   1806.      1.      0.      0.
     74   478.    3314.   2802.     1.9   846.   0.0       0.      0.  5570.    0.0      0.   2220.   1848.      1.      0.      0.
     75   493.    3260.   2755.     1.9   845.   0.0       0.      0.  5569.    0.0      0.   2269.   1889.      1.      0.      0.
     76   508.    3207.   2709.     1.9   845.   0.0       0.      0.  5568.    0.0      0.   2317.   1930.      1.      0.      0.
     77   523.    3157.   2665.     1.9   844.   0.0       0.      0.  5567.    0.0      0.   2364.   1969.      1.      0.      0.
     78   538.    3108.   2622.     1.8   844.   0.0       0.      0.  5566.    0.0      0.   2411.   2009.      1.      0.      0.
     79   553.    3060.   2580.     1.8   843.   0.0       0.      0.  5565.    0.0      0.   2457.   2048.      1.      0.      0.
     80   568.    3013.   2539.     1.8   842.   0.0       0.      0.  5564.    0.0      0.   2502.   2086.      1.      0.      0.
     81   583.    2968.   2499.     1.7   842.   0.0       0.      0.  5563.    0.0      0.   2546.   2123.      1.      0.      0.
     82   598.    2924.   2460.     1.7   841.   0.0       0.      0.  5562.    0.0      0.   2590.   2160.      1.      0.      0.
     83   613.    2881.   2422.     1.7   841.   0.0       0.      0.  5562.    0.0      0.   2633.   2196.      1.      0.      0.
     84   628.    2840.   2386.     1.7   840.   0.0       0.      0.  5561.    0.0      0.   2676.   2232.      2.      0.      0.
     85   643.    2799.   2350.     1.7   840.   0.0       0.      0.  5560.    0.0      0.   2718.   2267.      2.      0.      0.
     86   658.    2760.   2316.     1.6   839.   0.0       0.      0.  5559.    0.0      0.   2759.   2302.      2.      0.      0.
     87   673.    2722.   2281.     1.6   838.   0.0       0.      0.  5559.    0.0      0.   2800.   2336.      2.      0.      0.
     88   688.    2544.   2163.     1.6   850.   0.0       0.      0.  5558.    0.0      0.   2838.   2369.      2.      0.      0.
     89   703.    2442.   2102.     1.6   861.   0.0       0.      0.  5557.    0.0      0.   2875.   2400.      2.      0.      0.
     90   718.    2363.   2053.     1.6   869.   0.0       0.      0.  5556.    0.0      0.   2910.   2431.      2.      0.      0.
     91   730.    2312.   2026.     1.6   877.   0.0       0.      0.  5556.    0.0      0.   2937.   2454.      2.      0.      0.
     92   745.    2530.   2120.     1.5   838.   0.0       0.      0.  5555.    0.0      0.   2975.   2486.      2.      0.      0.
     93   760.    2343.   2000.     1.5   854.   0.0       0.      0.  5555.    0.0      0.   3010.   2516.      2.      0.      0.
     94   775.    2270.   1959.     1.5   863.   0.0       0.      0.  5554.    0.0      0.   3044.   2546.      2.      0.      0.
     95   790.    2163.   1891.     1.5   874.   0.0       0.      0.  5553.    0.0      0.   3077.   2574.      2.      0.      0.
     96   805.    2064.   1833.     1.5   888.   0.0       0.      0.  5553.    0.0      0.   3108.   2601.      2.      0.      0.
     97   820.    1969.   1780.     1.5   904.   0.0       0.      0.  5552.    0.0      0.   3137.   2628.      2.      0.      0.
     98   835.    1963.   1775.     1.4   904.   0.0       0.      0.  5552.    0.0      0.   3167.   2655.      2.      0.      0.
     99   850.    1947.   1759.     1.4   904.   0.0       0.      0.  5551.    0.0      0.   3196.   2681.      2.      0.      0.
    100   865.    1932.   1743.     1.4   902.   0.0       0.      0.  5550.    0.0      0.   3225.   2707.      2.      0.      0.
    101   880.    1807.   1659.     1.4   918.   0.0       0.      0.  5550.    0.0      0.   3252.   2732.      2.      0.      0.
    102   895.    1712.   1603.     1.4   937.   0.0       0.      0.  5549.    0.0      0.   3278.   2756.      2.      0.      0.
    103   910.    1614.   1547.     1.4   958.   0.0       0.      0.  5549.    0.0      0.   3302.   2779.      2.      0.      0.
    104   925.    1546.   1510.     1.4   977.   0.0       0.      0.  5548.    0.0      0.   3325.   2802.      2.      0.      0.
    105   940.    1493.   1481.     1.4   993.   0.0       0.      0.  5548.    0.0      0.   3347.   2824.      2.      0.      0.
    106   955.    1424.   1441.     1.4  1012.   0.0       0.      0.  5547.    0.0      0.   3369.   2846.      2.      0.      0.
    107   970.    1448.   1453.     1.4  1004.   0.0       0.      0.  5547.    0.0      0.   3391.   2868.      2.      0.      0.
    108   985.    1528.   1488.     1.4   974.   0.0       0.      0.  5547.    0.0      0.   3413.   2890.      2.      0.      0.
    109  1000.    1494.   1459.     1.3   977.   0.0       0.      0.  5546.    0.0      0.   3436.   2912.      2.      0.      0.
    110  1015.    1417.   1414.     1.3   998.   0.0       0.      0.  5546.    0.0      0.   3457.   2933.      2.      0.      0.
    111  1030.    1363.   1386.     1.3  1016.   0.0       0.      0.  5545.    0.0      0.   3478.   2954.      2.      0.      0.
    112  1045.    1322.   1364.     1.3  1032.   0.0       0.      0.  5545.    0.0      0.   3497.   2974.      2.      0.      0.
    113  1060.    1366.   1384.     1.3  1013.   0.0       0.      0.  5544.    0.0      0.   3518.   2995.      2.      0.      0.
    114  1075.    1311.   1348.     1.3  1029.   0.0       0.      0.  5544.    0.0      0.   3538.   3015.      2.      0.      0.
    115  1090.    1249.   1311.     1.3  1050.   0.0       0.      0.  5544.    0.0      0.   3556.   3035.      2.      0.      0.
    116  1095.    1211.   1294.     1.3  1068.   0.0       0.      0.  5544.    0.0      0.   3562.   3042.      2.      0.      0.
    117  1095.    1202.   1291.     1.3  1074.   0.0       0.      0.  5544.    0.0      0.   3562.   3042.      2.      0.      0.
    118  1095.    1202.   1291.     1.3  1074.   0.0       0.      0.  5544.    0.0      0.   3563.   3042.      2.      0.      0.
    119  1096.    1201.   1290.     1.3  1074.   0.0       0.      0.  5544.    0.0      0.   3563.   3042.      2.      0.      0.
    120  1096.    1201.   1290.     1.3  1074.   0.0       0.      0.  5544.    0.0      0.   3564.   3043.      2.      0.      0.
    121  1097.    1200.   1289.     1.3  1075.   0.0       0.      0.  5543.    0.0      0.   3565.   3044.      2.      0.      0.
    122  1098.    1198.   1288.     1.3  1075.   0.0       0.      0.  5543.    0.0      0.   3566.   3046.      2.      0.      0.
    123  1100.    1195.   1287.     1.3  1076.   0.0       0.      0.  5543.    0.0      0.   3568.   3048.      2.      0.      0.
    124  1102.    1192.   1285.     1.3  1078.   0.0       0.      0.  5543.    0.0      0.   3571.   3051.      2.      0.      0.
    125  1106.    1186.   1281.     1.3  1080.   0.0       0.      0.  5543.    0.0      0.   3576.   3056.      2.      0.      0.
    126  1112.    1178.   1277.     1.3  1084.   0.0       0.      0.  5543.    0.0      0.   3583.   3063.      2.      0.      0.
